No,Name_of_Company,Address,Phone,Industry
74.,"ABADI,UD","Kol Sugiono 3e No. 12 Rt.3.rw.3, Jl, Pasuruan, Jawa Timur",0343 420584,Onderdil Sepeda Motor
75.,ABADI/KAHAPTEX,"Jembatan Besi I No. 8, Jakarta Barat, DKI Jakarta",021-6344756,Kemeja
76.,"ABAGUS CITRA ENGINERING, PT","Kapuk Utara No 2, Jakarta Barat, DKI Jakarta",,Jasa Bubut
77.,"ABAI SIAT RAYA, PT","Jl.raya Padang-painan Km 9     Kotamadya Padang, Padang, Sumatera Barat",(0751) 62079,Karet Remah (sir 20)
78.,"ABAS RADEN, KONVEKSI","Kh.ahmad Kholil.jl Ds.genteng Wetan, Banyuwangi, Jawa Timur",(0333)845866,Industri Pakaian Jadi
79.,ABAS TAMAN /SIKIN FILLET IKAN,"Jl. Jongor, Tegal, Jawa Tengah",087830026161,Filet Ikan
80.,"ABAS, H / ANEKA MEBEL","Jl.kutamaneh Rt.33/xvii, Sukabumi, Jawa Barat",212409,Tempat Tidur Dari Kayu
81.,"ABASON BABY PROD IND, PT","Raya Driyorejo, Jl, Gresik, Jawa Timur",707366,Botol Plastik & Dot
82.,ABASORI/DAYU FILLET IKAN,"Jl. Jongor, Tegal, Jawa Tengah",081808985041,Filet Ikan
83.,"ABBA UD/ABBA INTI MANDIRI, PD","Ds. Titisan Kp.baros Rt 30/07, Sukabumi, Jawa Barat",0266-264957,Baju Muslim
84.,ABBAS KONVEKSI/NABILA GARMEN,"Jl Ottista Rt 01/01   No,143, Pekalongan, Jawa Tengah",0285 431850,Daster Batik
85.,ABBAS RIYANTO,"Paseser, Dsn, Sumenep, Jawa Timur",,Krupuk Ikan
86.,"ABBERGUMMI MEDICAL, PT","Manduro Mg Km 0,6, Ds, Mojokerto, Jawa Timur",618282,Sarung Tangan Dari Karet
87.,"ABBOTT INDONESIA, PT","Jl.raya Jakarta Bogor Km37 Dessriyanto@ln.ssw.abbott.com, Depok, Jawa Barat",8751735,Obat
88.,ABC (KUSNADI),"Jl. Cendrawasih No. 12 Semayan, Lombok Tengah, Nusa Tenggara Barat",0370 654342,Bipang Beras
89.,"ABC CENTRAL FOOD, PT","Kp Mangga Besar Ii Rt 13/04, Karawang, Jawa Barat",431430,Kecap & Sirop
90.,ABC PLASTIK,"Keputran Gg. 2 No. 4, Pekalongan, Jawa Tengah",0285-422447,Kantong Plastik
91.,"ABC PRESIDENT  ENTERPRISE, PT","Ds Walahar Dusun  Mangga Besar Ii, Karawang, Jawa Barat",0267-431422,Mie Instan
92.,"ABC, CV (PERUSAHAAN PAVING BLOK)","Dsn. Sempon, Magelang, Jawa Tengah",(0293) 310031,Paving Block
93.,"ABC, UD","Pahlawan 26, Jl, Tuban, Jawa Timur",323804,Kacang Ose
94.,ABD AZIS-IKAN TRASAK,"Lekok Raya, Jl, Pasuruan, Jawa Timur",,Ikan Trasak Kering
95.,"ABD GHOFUR,  SEROK","Pemili, Jl, Gresik, Jawa Timur",0318974548,Serok
96.,ABD GOFUR,"Jatitengah, Dsn, Pasuruan, Jawa Timur",0343 773832,Kapuk
97.,ABD KODIR,"Manik Rejo, Ds, Pasuruan, Jawa Timur",,Mebel
98.,ABD ROCHMAN,"Jl. Pulogebang Rt 04/03, Jakarta Timur, DKI Jakarta",021-4800671,Boneka
99.,ABD WACJID,"Gajahbendo 2 Rt 14/05, Ds, Pasuruan, Jawa Timur",,"Anting, Cincin Dan Gelang"
100.,ABD. ROCHIM,"Dsn. Krajan, Pasuruan, Jawa Timur",0343744793,Pengrajin Perak
101.,ABD.HADI,"Dsn.paseser Prenduan, Sumenep, Jawa Timur",,Pengeringan Ikan
102.,"ABDI BUDI MULIA, PT","Teluk Panji/jl.katamso No.32 F-g Medan, Labuhan Batu Selatan, Sumatera Utara","0624-495705,061-4552",Minyak Kelapa Sawit
103.,ABDI COLLECTION,"Kilensari.rt.02/01, Situbondo, Jawa Timur",679132,Kerajinan Kerang
104.,ABDI PERKASA FURNITURE,"Karang Gondang  Rt.06/04, Jepara, Jawa Tengah",,Meja
105.,"ABDI TANI, UD/PP(SULUH DWI WASTITO)","Raya Gumuk No.95, Jl, Banyuwangi, Jawa Timur",(0333)8922999,Beras Biasa Giling
106.,"ABDI TUNGGAL PUTRA, CV","Jl Syech Mubarok Rt 03/04 No 12 Tigaraksa, Tangerang, Banten",021-5995123,Tas
107.,ABDUL AZIM,"Jalan Tengah Dusun I, Ogan Ilir, Sumatera Selatan",081278785598,Anyaman Kawat
108.,ABDUL BASYIR JOK,"Jl Puskesmas Si Jaba, Cirebon, Jawa Barat",0231321925,Jok Kursi
109.,ABDUL CHOLIQ,"Jl Botoran Barat Ix/11., Tulungagung, Jawa Timur",,Jaket Anak Dan Sprei
110.,ABDUL FATAH,"Ds. Sumengko, Nganjuk, Jawa Timur",,Shutle Cock
111.,ABDUL HAFID AUDAH/TAMARA,"Raya Cerme Lor, Jl, Gresik, Jawa Timur",7990091,Sarung Kembang
112.,ABDUL HAMID KAIN GORDYN,"Klebengan Rt.12/03, Klaten, Jawa Tengah",0272-7006126,Korden & Klambu
113.,"ABDUL KAZI, INDUSTRI BATU BATA","Dusun Kaluat Utara, Pariaman, Sumatera Barat",081374551242,Batu Bata
114.,"ABDUL MANAF, H","Semampir Dusun Jambu  Ds, Gresik, Jawa Timur",7993894,Sarung Kembang
115.,ABDUL MUKHID,"Jombok, Ds, Jombang, Jawa Timur",328390,Alumunium Batangan
116.,"ABDUL MUKTI, KONVEKSI","Talunrejo Rt 04 Rw 3, Dsn, Banyuwangi, Jawa Timur",(0333)396976,Baju Seragam Sekolah
117.,"ABDUL ROHIM, DOMPET","Gg. Masjid Janti Rt 01/08, Pasuruan, Jawa Timur",,Dompet
118.,ABDUL ROHMAN PATI AREN,"Dk Bendan, Klaten, Jawa Tengah",,Pati Aren
119.,ABDUL ROZAK KONVEKSI,"Ds. Tangkil Tengah, Pekalongan, Jawa Tengah",,Celana Jean
120.,ABDULLAH,"Kebundadap Timur, Ds, Sumenep, Jawa Timur",,Perahu
121.,"ABDULLAH JAYA, PR","Glagah, Ds, Probolinggo, Jawa Timur",,Rokok Kretek Imjaya
122.,ABDURAHMAN GESPER,"Ds Leuwiseeng Kec Panyingkiran, Majalengka, Jawa Barat",,Gesper Plat Besi
123.,"ABEBERSA PRATAMA, PT","Jl.narogong Km.10 Desa Bantar Gebang, Bekasi, Jawa Barat",8250089,Kaca Dekorasi
124.,ABELL JAYA,"Randuwatang, Jombang, Jawa Timur",886751,"Botolan Pagar,pot,lis,pilar"
125.,"ABHIRAMA KRESNA, PT","Jln. Ry Solo-wonogiri  Rt.01/i, Sukoharjo, Jawa Tengah",0271-7072803,Playwood
126.,"ABI ELANG INDO, PT","Jl. Kaliurang Km 9,3 No 77, Sleman, D.I. Yogyakarta",0274- 882760,Furniture
127.,ABI MULYA KASMAN,"Jombok, Ds, Jombang, Jawa Timur",0321 381613,Sandal
128.,"ABLY METAL INDONESIA, PT","Kawasan Industri Kabil Jl. Mas Surya Negara Kav-1b No.12, B A T A M, Kepulauan Riau",0778-711971,Scrap Metal
129.,ABON SS ABADI,"Jl. Raya Blotongan  123, Salatiga, Jawa Tengah",0298-327646,Abon
130.,ABON UNTUNG SUHARDI,"Kali Tengah, Boyolali, Jawa Tengah",0276-331177,"Abon,dendeng"
131.,"ABON WINOTO ""99""","Besuki Rt 02/03, Boyolali, Jawa Tengah",0276-331216,"Dendeng,abon"
132.,ABUN KONFEKSI,"Waru Viii No.18, Jakarta Barat, DKI Jakarta",021,Pakaian
133.,AC RAJUT,"Jl Cijagra I No 2, Bandung, Jawa Barat",,Pakaian Jadi
134.,ACAI/CIN MEI,"Bogak Seberang/desa Bogak, Batu Bara, Sumatera Utara",0623-51125,Ikan Asin
135.,ACC SOEYANTO,"Kyai Tambak Deres 94 B.jl, Surabaya, Jawa Timur",3810722,Cetakan Tegel
136.,"ACC, UD","Kyai Tambak Deres 94b, Jl, Surabaya, Jawa Timur",3810722,Mesin Paving
137.,"ACCASIA NUSANTARA INDAH, PT","Krikilan Rt. 07/03, Gresik, Jawa Timur",7507625,Mebel Kayu
138.,ACCESSORIES PAGAR BESI,"Desa Lemahduwur Rt 04/01, Tegal, Jawa Tengah",,Aksesoris Pagar Besi
139.,ACCO MAS PERTIWI,"Jl. Meruya Utara Raya No. 63, Jakarta Barat, DKI Jakarta",021-5852416,Fastener (penjepit Map)
140.,"ACCU ""DUA SEKAWAN""","Jl.imam Bonjol No 21 Gg.usaha Ii, Tangerang, Banten",021-5524217,Accu
141.,"ACE INDUSTRIES INDONESIA, PT","Komplek Repindo Industrial Park Blok Dii No. 7, B A T A M, Kepulauan Riau",0778-413086,Tas Dari Kertas
142.,"ACE OLDFIELDS, PT","Kp Cigalogo Ds Cileungsi Kidulkm 22,5, Bogor, Jawa Barat",021-8210121,Kwas
143.,"ACEH MEDIA GRAFIKA, PT","Jl. Raya Lambaro Km 4,5 Tanjung Permai, Manyang Pa, Aceh Besar, Nanggroe Aceh Darussalam",(0651) 635544,Harian Serambi Indonesia
144.,ACEN KONFEKSI,"Ps Alam, Jakarta Barat, DKI Jakarta",,Pakaian Dalam Laki-laki
145.,ACETECH ELECTRONICS INDONESIA,"Cammo Industrial Park B2/3, B A T A M, Kepulauan Riau",0778-6002548,Printer Circuit Assembly
146.,"ACHMAD DJUBAIDI, KONVEKSI","Talunrejo, Dsn, Banyuwangi, Jawa Timur",(0333)396996,Baju Dan Celana
147.,ACHMAD HASYIM,"Jambu Semampir, Gresik, Jawa Timur",79900705,Sarung Kembang
148.,ACHMAD RAMELAN,"Krajan Rt11 Rw03, Malang, Jawa Timur",0341 871277,Kalung Emas
149.,ACHMAD SAFARI,"Ds. Jombok, Jombang, Jawa Timur",0321 7228270,Aluminium
150.,ACHMAD SUDJOKO,"Gotong Royong No.4 B  Ds Pelem, Jl, Nganjuk, Jawa Timur",551240,Plastik Leburan
151.,ACHMAD TENUN SARUNG,"Wedani Ds, Gresik, Jawa Timur",7990041,Sarung
152.,"ACHMAD, H","Semampir Ds, Gresik, Jawa Timur",7990754,Sarung Kembang
153.,"ACHMADI PASCA PERINTIS, PT","Mayjen Sungkono 11, Jl, Gresik, Jawa Timur",3973673-74,Kayu Dahan
154.,ACI  HARUM BUNGA,"Ds. Cipawon Rt.04/04, Purbalingga, Jawa Tengah",08522771423,Tapioka
155.,ACI ABADI / CIKATE,"Kp Cikate Rt 27 / Vii Ds Bojong, Sukabumi, Jawa Barat",0266-321027,Sagu
156.,ACI ANDI,"Sambong  Rt05/03, Banjarnegara, Jawa Tengah",,Tepung Tapioka
157.,ACI BANGKIT,"Nangkod Rt 01/02, Purbalingga, Jawa Tengah",081-327029879,Tapioka
158.,ACI BK KOYUN,"Cisumur, Kota Tasikmalaya, Jawa Barat",,Tapioka Halus
159.,ACI BUNGA MAWAR,"Ds. Kebondalem, Banjarnegara, Jawa Tengah",0286-5800970,Tepung Tapioka
160.,ACI BUNTER,"Dusun Cikondang Ds Bunter, Ciamis, Jawa Barat",,Tapioka Kasar
161.,ACI CIBARES,"Kp Cibares Rt 02 Rw V Ds Cihaurkuning, Garut, Jawa Barat",,Tapioka (aci Kasar)
162.,ACI CIKERUH,"Kp Cikeruh Desa Cikupa, Tasikmalaya, Jawa Barat",0265-331041,Aci Kasar
163.,ACI CIWALEN,"Kp Ciragara Dusun Payung Agung, Ciamis, Jawa Barat",,Tapioka Kasar (aci)
164.,ACI DERMA JAYA,"Jl.11 April Km .11, Sumedang, Jawa Barat",207246,Tapioka
165.,ACI KADUOMAS,"Kaduomas Rt 02/07, Cilacap, Jawa Tengah",0265-650054,Tapioka
166.,ACI KAHURIPAN,"Rt 4 Rw 4 Dusun Karang Anyar, Cilacap, Jawa Tengah",0265-330406,Tapioka Kasar
167.,ACI KANJI PABRIK,"Kp Cigadog 03/02, Sukabumi, Jawa Barat",,Aci Kanji
168.,ACI KARTAWIJAYA,"Kmp Tegal Panjang Ds.ganeas, Sumedang, Jawa Barat",201715,Tapioka
169.,ACI KAWUNG / SAGU AREN H.TATA,"Lewi Putih, Pandeglang, Banten",,Aci Kawung
170.,ACI KAWUNG TUGIMIN,"Kp Leuwi Putih Desa Karung Kambing, Pandeglang, Banten",,Aci Kawung
171.,ACI KEMUNING,"Kp Ciupas Ds Madusari, Cilacap, Jawa Tengah",,Tapioka
172.,ACI KERTAJAGA,"Dsn Kertajaya Desa Sukajaya, Ciamis, Jawa Barat",0265-741749,Tapioka
173.,ACI KISMA HARI NUGROHO,"Sambong, Wanatangi, Banjarnegara, Jawa Tengah",,Tepung Tapioka
174.,ACI KM UTAMA,"Timbang Rt.18/05, Purbalingga, Jawa Tengah",08122936159,Aci
175.,ACI LAMUK,"Desa Lamuk Rt 03 Rw Ii, Purbalingga, Jawa Tengah",,Tepung Tapioka
176.,ACI LIMA-LIMA CIGAYAM,"Kp Desa Kolot Ds Banjar Anyar, Ciamis, Jawa Barat",0265-771279,Tepung Tapioka
177.,ACI MADUR,"Kp Madur Ds Bojongasih, Tasikmalaya, Jawa Barat",,Aci Kasar
178.,"ACI MENARA, CV","Ds. Purwanegoro Rt. 04/01, Banjarnegara, Jawa Tengah",0286-591555,Tepung Tapioka
179.,ACI NARSIN NARSITO,"Panunggalan Kadus 1 Rt.03/01, Purbalingga, Jawa Tengah",,Aci Ubi Kayu
180.,ACI NSH,"Dusun Karangmulya  Rt,28/05, Ciamis, Jawa Barat",0265-650241,Aci Kasar
181.,ACI NURLATIF MUTAQIN AL BAJUR,"Panunggalan Kadus 1 Rt.03/01, Purbalingga, Jawa Tengah",,Aci Ubi Kayu
182.,ACI SABAR,"Nangkod Rt.01/04, Purbalingga, Jawa Tengah",,Tepung Aci
183.,ACI SANDIARJA,"Karangjoho Rt.03/01, Purbalingga, Jawa Tengah",081-32788995,Aci Ubi Kayu
184.,ACI SARI BUMI RAYA,"Rt 04/03 Ds. Mandiraja Kulon, Banjarnegara, Jawa Tengah",0286-411455,Tepung Tapioka (krosok)
185.,ACI SINGKONG H. BAHRUDIN,"Kp. Parung Ponteng Rt 01/07 Tajur, Bogor, Jawa Barat",,Sagu Singkong
186.,"ACI TABAH, CV","Ds. Gumiwang, Banjarnegara, Jawa Tengah",0286-591777,Tepung Tapioka
187.,ACI TEMPURAN JAYA,"Ds. Panempon Rt 19/20, Purbalingga, Jawa Tengah",,Tapioka
188.,ACI USAHA BERSAMA,"Panunggalan Rt 06 Rw 02, Purbalingga, Jawa Tengah",08122873693,Aci Ubi Kayu
189.,"ACI WAY RAMAN, CV","Desa Raman Endra, Lampung Timur, Lampung",(0725) 7037364,Tepung Tapioka
190.,ACIANG KONFEKSI,"Pademangan 2 Gg.13 /289, Jakarta Utara, DKI Jakarta",021-6454264,Celana Dalam Wanita
191.,"ACK (ALAM CIPTO KARYA),  CV","Jl Raya Tayu-jepara  Km.2, Jepara, Jawa Tengah",0295-452317,Filspar Tepung
192.,"ACROPOLIS ELECTRONICS BATAM, PT","Cammo Industrial Park A4 No.3, B A T A M, Kepulauan Riau",0778-460310,Pcba & Wire Harness
193.,"ACTEM, PT/ACRYL TEXTIL MILLS","Jl Raya Moch .toha Km.1, Tangerang, Banten",021-5520158-5524940,Tekstil
194.,ACTRO,"Jl Cibaduyut Raya Gg Ipong Rt 07/02, Bandung, Jawa Barat",0225419220,Sandal Pria
195.,ACUN MEBEL,"Jl Gn Guruh Desa Cibentang, Sukabumi, Jawa Barat",,Tempat Tidur
196.,ACUNG KONVEKSI,"Pademangan Ii Gg.16 No.16a, Jakarta Utara, DKI Jakarta",021-6401043,Kemeja
197.,ADA MEBELINDO,"Raya Sambanlor 32.jl, Sidoarjo, Jawa Timur",,Springbad
198.,ADA PLASTIK,"Simo Kwagean 22, Jl, Surabaya, Jawa Timur",5343705,Kantong Plastik
199.,"ADAB ALAM ELECTRONIC, PT","Jl Pembangunan I No.283, Tangerang, Banten",021-5524739,Alat-alat El;ektronik
200.,"ADAM, NV","Ade Irma Suryani No.7, Jl, Malang, Jawa Timur",364554,Jasa Colter
201.,ADANG WILMAN (YAYAT),"Jl Raya Laswi No. 83, Bandung, Jawa Barat",0225951049,Kain Baju
202.,"ADAS SEJAHTERA, PT","Desa Labuan Lelea, Tawaeli, Donggala, Sulawesi Tengah",0451-491369,Batu Pecah
203.,"ADD-PLUS TECHNOLOGY INDONESIA, PT","Jl. Aster Lot 53/55 Biie Lobam, Bintan, Kepulauan Riau",0770-696681-3,Elektronik/walkie Talki
204.,"ADDITON KARYA SEMBADA, PT","Jl. Raya Sby Malang Km. 53, Pasuruan, Jawa Timur",0343-632529,Additive Beton
205.,ADE ASIKIN INJUK,"Kp Sindangkerta Rt 06/02, Cianjur, Jawa Barat",,Ijuk Cemara
206.,ADE CARMO,"Kp. Rancawaas Rt. 03 Rw. 09, Bandung, Jawa Barat",,Waring
207.,"ADE GARMENT, PT","Jl.s.parman Gg.melati I/40, Semarang, Jawa Tengah",024-6922574,Konveksi
208.,"ADE PLASTIK PRATAMA, CV","Jl Paralon Ii No 7 Bandung, Bandung, Jawa Barat",022-6033801,Barang Dari Plastik
209.,ADE PRIATNA SUNDA JAYA,"Jl.sukapura No.38/133b, Bandung, Jawa Barat",022-7312710,Tutup Botol Dari Karet
210.,ADE PRIMA,"Blok I Sukaraja Jatiwangi, Majalengka, Jawa Barat",,Genteng
211.,ADE PUTRA COLLECTION,"Jl. Kenari Rt 09 Rw 03, Tegal, Jawa Tengah",0283-444050,Pakaian Jadi
212.,ADE SUHERMAN,"Kp Ranca Waas Rt 02 Rw 09, Bandung, Jawa Barat",022-74864612,Kain Sarung
213.,ADE SUPARMAN,"Dusun Sinarmulya Rt02/02, Sumedang, Jawa Barat",02287916250,Benang Gelasan
214.,"ADE TEXTILES INDUSTRIES,PT","Jl.raya Banjaran No 590, Bandung, Jawa Barat",5940144,Macam Macam Texstil
215.,ADE VERNANDEZ SAFETY MOTOR,"Gudang 11 No.38b, Jakarta Utara, DKI Jakarta",021-5883993,Helm Dan Variasi Motor
216.,"ADEHA METALINDO, PT","Jl.angsana Raya Kav,a5-6 Delta Silicon Lippo, Bekasi, Jawa Barat",021-8973025,Barang Dari Logam
217.,"ADEI CRUMB RUBBER INDUSTRY, PT","Jl. Imam Bonjol No.239, Tebing Tinggi, Sumatera Utara",0621-21492,Crumb Rubber
